RUN	com.xhinliang.startup.gatling.ComputerWorld	computerworld	1544859874352	 	3.0.1
USER	XhinLiang random api	330	START	1544859876542	1544859876542
USER	XhinLiang random api	320	START	1544859876533	1544859876533
USER	XhinLiang random api	338	START	1544859876562	1544859876562
USER	XhinLiang random api	314	START	1544859876522	1544859876522
USER	XhinLiang random api	337	START	1544859876561	1544859876561
USER	XhinLiang random api	324	START	1544859876537	1544859876537
USER	XhinLiang random api	325	START	1544859876538	1544859876538
REQUEST	54		random	1544859876214	1544859876543	OK	 
REQUEST	22		random	1544859876215	1544859876566	OK	 
USER	XhinLiang random api	340	START	1544859876566	1544859876566
USER	XhinLiang random api	341	START	1544859876566	1544859876566
USER	XhinLiang random api	342	START	1544859876567	1544859876567
REQUEST	78		random	1544859876224	1544859876567	OK	 
REQUEST	86		random	1544859876228	1544859876569	OK	 
USER	XhinLiang random api	339	START	1544859876566	1544859876566
USER	XhinLiang random api	343	START	1544859876567	1544859876567
USER	XhinLiang random api	345	START	1544859876568	1544859876568
REQUEST	89		random	1544859876230	1544859876540	OK	 
REQUEST	117		random	1544859876262	1544859876544	OK	 
USER	XhinLiang random api	260	START	1544859876476	1544859876476
USER	XhinLiang random api	261	START	1544859876477	1544859876477
USER	XhinLiang random api	353	START	1544859876576	1544859876576
USER	XhinLiang random api	352	START	1544859876576	1544859876576
USER	XhinLiang random api	354	START	1544859876578	1544859876578
REQUEST	125		random	1544859876267	1544859876579	OK	 
USER	XhinLiang random api	355	START	1544859876579	1544859876579
USER	XhinLiang random api	356	START	1544859876581	1544859876581
USER	XhinLiang random api	358	START	1544859876582	1544859876582
USER	XhinLiang random api	357	START	1544859876581	1544859876581
USER	XhinLiang random api	360	START	1544859876584	1544859876584
USER	XhinLiang random api	359	START	1544859876584	1544859876584
USER	XhinLiang random api	362	START	1544859876586	1544859876586
USER	XhinLiang random api	361	START	1544859876586	1544859876586
USER	XhinLiang random api	363	START	1544859876588	1544859876588
USER	XhinLiang random api	364	START	1544859876589	1544859876589
USER	XhinLiang random api	365	START	1544859876591	1544859876591
USER	XhinLiang random api	366	START	1544859876592	1544859876592
USER	XhinLiang random api	367	START	1544859876593	1544859876593
USER	XhinLiang random api	369	START	1544859876596	1544859876596
USER	XhinLiang random api	348	START	1544859876570	1544859876570
USER	XhinLiang random api	368	START	1544859876595	1544859876595
USER	XhinLiang random api	350	START	1544859876572	1544859876572
USER	XhinLiang random api	372	START	1544859876599	1544859876599
USER	XhinLiang random api	370	START	1544859876598	1544859876598
USER	XhinLiang random api	349	START	1544859876570	1544859876570
USER	XhinLiang random api	375	START	1544859876602	1544859876602
REQUEST	94		random	1544859876233	1544859876570	OK	 
REQUEST	67		random	1544859876241	1544859876603	OK	 
REQUEST	119		random	1544859876263	1544859876538	OK	 
USER	XhinLiang random api	346	START	1544859876569	1544859876569
USER	XhinLiang random api	344	START	1544859876567	1544859876567
REQUEST	127		random	1544859876268	1544859876606	OK	 
REQUEST	152		random	1544859876313	1544859876611	OK	 
REQUEST	70		random	1544859876245	1544859876604	OK	 
REQUEST	102		random	1544859876245	1544859876612	OK	 
USER	XhinLiang random api	377	START	1544859876607	1544859876607
USER	XhinLiang random api	378	START	1544859876608	1544859876608
REQUEST	110		random	1544859876258	1544859876617	OK	 
USER	XhinLiang random api	376	START	1544859876603	1544859876603
REQUEST	99		random	1544859876249	1544859876623	OK	 
USER	XhinLiang random api	379	START	1544859876621	1544859876621
USER	XhinLiang random api	382	START	1544859876624	1544859876624
REQUEST	115		random	1544859876260	1544859876626	OK	 
USER	XhinLiang random api	347	START	1544859876569	1544859876569
USER	XhinLiang random api	336	START	1544859876561	1544859876561
USER	XhinLiang random api	380	START	1544859876622	1544859876622
USER	XhinLiang random api	351	START	1544859876574	1544859876574
USER	XhinLiang random api	387	START	1544859876629	1544859876629
USER	XhinLiang random api	381	START	1544859876623	1544859876623
USER	XhinLiang random api	386	START	1544859876628	1544859876628
USER	XhinLiang random api	388	START	1544859876630	1544859876630
USER	XhinLiang random api	390	START	1544859876630	1544859876630
USER	XhinLiang random api	385	START	1544859876628	1544859876628
USER	XhinLiang random api	392	START	1544859876631	1544859876631
USER	XhinLiang random api	394	START	1544859876632	1544859876632
USER	XhinLiang random api	393	START	1544859876632	1544859876632
USER	XhinLiang random api	396	START	1544859876632	1544859876632
USER	XhinLiang random api	395	START	1544859876632	1544859876632
